timestep,original,predicted_1,predicted_2,AARE_1,AARE_2,thd_1,thd_2,anomalies_1,anomalies_2,anomalies_aggr,pattern_change_1,pattern_change_2,diff_avg_1,diff_avg_2,values_mean,pred_mean_1,pred_mean_2,offset_retrain_threshold,offset_retrain_trigger_1,offset_retrain_trigger_2,offset_percentage_1,offset_percentage_2,retrain_percentage_1,retrain_percentage_2,window_size,age_power,anom_flap,freq_sig,long_anom,no_sig,timesteps_dur
0,0.38874842548320115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
1,0.37699081812895446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
2,0.39563893025824803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
3,0.36696495139277513,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
4,0.3675665033969459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
5,0.38874842548320115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
6,0.36308220663858204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
7,0.3880010426901405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
8,0.4120813517055822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
9,0.3750585601761635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
10,0.3910999469540505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
11,0.398810749916603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
12,0.3511058531010005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
13,0.3872536598970799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
14,0.3761340622442264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
15,0.3840453825415025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
16,0.3834073728401093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
17,0.39687849196381203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
18,0.35003035103293767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
19,0.3829698804734396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
20,0.40898244744167217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
21,0.3705742634177997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
22,0.385321401944289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
23,0.39239419520544816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
24,0.397097238147147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
25,0.34959285866626805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
26,0.36264471427191236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
27,0.3812563687039835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
28,0.35580889604269916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
29,0.3844828749081721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,2.6407456398010254
30,0.3806183590025902,0.40481096506118774,0.40481096506118774,0.06356132195513166,0.06356132195513166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1953437328338623
31,0.4009435252041175,0.3966541886329651,0.3966541886329651,0.005349053297429812,0.005349053297429812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.2578229904174805
32,0.3780298624997949,0.3998052477836609,0.3998052477836609,0.019831154882702075,0.019831154882702075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.2325115203857422
33,0.35761355205521145,0.382794588804245,0.382794588804245,0.023000881952168303,0.023000881952168303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1908743381500244
34,0.3809647071262037,0.3627933859825134,0.3627933859825134,0.018503341570052744,0.018503341570052744,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.2184910774230957
35,0.36204316226774164,0.3782119154930115,0.3782119154930115,0.016269898848655644,0.016269898848655644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1949574947357178
36,0.37013677105113,0.36433932185173035,0.36433932185173035,0.011078235538560985,0.011078235538560985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.2660691738128662
