timestep,original,predicted_1,predicted_2,AARE_1,AARE_2,thd_1,thd_2,anomalies_1,anomalies_2,anomalies_aggr,pattern_change_1,pattern_change_2,diff_avg_1,diff_avg_2,values_mean,pred_mean_1,pred_mean_2,offset_retrain_threshold,offset_retrain_trigger_1,offset_retrain_trigger_2,offset_percentage_1,offset_percentage_2,retrain_percentage_1,retrain_percentage_2,window_size,age_power,anom_flap,freq_sig,long_anom,no_sig,timesteps_dur
0,0.38874842548320115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
1,0.37699081812895446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
2,0.39563893025824803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
3,0.36696495139277513,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
4,0.3675665033969459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
5,0.38874842548320115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
6,0.36308220663858204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
7,0.3880010426901405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
8,0.4120813517055822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
9,0.3750585601761635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
10,0.3910999469540505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
11,0.398810749916603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
12,0.3511058531010005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
13,0.3872536598970799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
14,0.3761340622442264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
15,0.3840453825415025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
16,0.3834073728401093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
17,0.39687849196381203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
18,0.35003035103293767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
19,0.3829698804734396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
20,0.40898244744167217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
21,0.3705742634177997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
22,0.385321401944289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
23,0.39239419520544816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
24,0.397097238147147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
25,0.34959285866626805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
26,0.36264471427191236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
27,0.3812563687039835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
28,0.35580889604269916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,0.0
29,0.3844828749081721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,2.616811990737915
30,0.3806183590025902,0.4256059229373932,0.4256059229373932,0.11819599047374593,0.11819599047374593,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1666607856750488
31,0.4009435252041175,0.389250785112381,0.389250785112381,0.014581530011968456,0.014581530011968456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1812610626220703
32,0.3780298624997949,0.3978543281555176,0.3978543281555176,0.01919896092106113,0.01919896092106113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1758317947387695
33,0.35761355205521145,0.38179510831832886,0.38179510831832886,0.022130105078394753,0.022130105078394753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.2158443927764893
34,0.3809647071262037,0.36179086565971375,0.36179086565971375,0.01869029600808039,0.01869029600808039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1752419471740723
35,0.36204316226774164,0.3764042556285858,0.3764042556285858,0.015526924617021296,0.015526924617021296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1666147708892822
36,0.37013677105113,0.3650698959827423,0.3650698959827423,0.010392550781361243,0.010392550781361243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,2.5,nan,nan,nan,nan,1.1584620475769043
