timestep,original,predicted_1,predicted_2,AARE_1,AARE_2,thd_1,thd_2,anomalies_1,anomalies_2,anomalies_aggr,pattern_change_1,pattern_change_2,diff_avg_1,diff_avg_2,values_mean,pred_mean_1,pred_mean_2,offset_retrain_threshold,offset_retrain_trigger_1,offset_retrain_trigger_2,offset_percentage_1,offset_percentage_2,retrain_percentage_1,retrain_percentage_2,window_size,age_power,anom_flap,freq_sig,long_anom,no_sig,timesteps_dur
0,0.38874842548320115,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
1,0.37699081812895446,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
2,0.39563893025824803,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
3,0.36696495139277513,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
4,0.3675665033969459,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
5,0.38874842548320115,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
6,0.36308220663858204,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
7,0.3880010426901405,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
8,0.4120813517055822,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
9,0.3750585601761635,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
10,0.3910999469540505,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
11,0.398810749916603,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
12,0.3511058531010005,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
13,0.3872536598970799,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.001001119613647461
14,0.3761340622442264,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
15,0.3840453825415025,nan,,nan,,nan,,nan,,nan,nan,,nan,,nan,nan,,nan,nan,,nan,,nan,,800,2.5,nan,nan,nan,nan,0.0
